Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2018,01.09.2018,Bright Ultra 50 km (AUS),50km,34,15233.0,the North Face,AUS,1981.0,M,M35,11.816,8169
2022,28.08.2022,Bright Ultra 50 km (AUS),50km,31,17786.0,,AUS,,M,,10.12,1002865
2019,31.08.2019,Bright Ultra 50 km (AUS),50km,42,16532.0,,AUS,1985.0,M,M23,10.888,23485
2016,13.03.2016,Brimbank Park Urban Run (AUS),50km,14,15446.0,,AUS,1976.0,M,M35,11.654,77945
2017,19.03.2017,Brimbank Park Urban Run (AUS),50km,18,15081.0,,AUS,1980.0,M,M35,11.936,202854
2022,20.03.2022,Brimbank Park Urban Run (AUS),50km,18,13575.0,,AUS,1983.0,M,M35,13.26,385341
2021,21.03.2021,Brimbank Park Urban Run (AUS),50km,29,14675.0,,IRL,1985.0,M,M35,12.266,8807
2020,22.03.2020,Brimbank Park Urban Run (AUS),50km,24,12518.0,,AUS,1992.0,M,M23,14.379,804549
2019,23.03.2019,Brimbank Park Urban Run (AUS),50km,35,13094.0,,AUS,1980.0,M,M35,13.747,202854
2018,25.03.2018,Brimbank Park Urban Run (AUS),50km,19,14262.0,,AUS,1981.0,M,M35,12.621,26996
2015,26.04.2015,Brimbank Park Urban Run (AUS),50km,18,12999.0,,AUS,1962.0,M,M50,13.847,92703
2014,27.04.2014,Brimbank Park Urban Run (AUS),50km,16,12488.0,,AUS,1983.0,M,M23,14.414,385341
1990,11.11.1990,Brindabella Classic (AUS),50km,72,12974.0,*ACT,AUS,1961.0,M,M23,13874.0,454842
1989,22.10.1989,Brindabella Classic (AUS),50km,89,13710.0,*ACT,AUS,1951.0,M,M35,13129.0,26540
1988,30.10.1988,Brindabella Classic (AUS),50km,53,13860.0,*NSW,AUS,1946.0,M,M40,12987.0,913905
2018,16.-17.06.2018,Brisbane Valley Rail Trail 50km (AUS),50km,14,15180.0,,AUS,1990.0,M,M23,11.858,147766
2020,01.02.2020,Bristow Trail Run (USA),50km,17,14288.0,"*Klamath Falls, OR",USA,1972.0,M,M45,12.598,54112
2019,02.02.2019,Bristow Trail Run (USA),50km,12,15096.0,"*Redmond, OR",USA,1970.0,M,M45,11.924,242016
2018,03.02.2018,Bristow Trail Run (USA),50km,11,14361.0,,USA,1972.0,M,M45,12.534,54112
2017,04.02.2017,Bristow Trail Run (USA),50km,6,15187.0,"*Newberg, OR",USA,1979.0,M,M35,11.852,140905
2022,05.02.2022,Bristow Trail Run (USA),50km,26,14254.0,"*Portland, OR",USA,1988.0,M,M23,12.628,216566
2016,06.02.2016,Bristow Trail Run (USA),50km,14,15110.0,"*Klamath Falls, OR",USA,1972.0,M,M40,11.913,54112
2021,06.02.2021,Bristow Trail Run (USA),50km,19,12884.0,"*Klamath Falls, OR",USA,1996.0,M,M23,13.971,653124
2015,07.02.2015,Bristow Trail Run (USA),50km,12,13895.0,,USA,1979.0,M,M35,12.954,140905
2014,16.02.2014,Bristow Trail Run (USA),50km,3,16601.0,"*Portland, OR",USA,1973.0,M,M40,10.843,1183840
2013,17.02.2013,Bristow Trail Run (USA),50km,4,17571.0,"*Ashland, OR",USA,1988.0,M,M23,10.244,1368169
2014,03.05.2014,British Athletics National 100K Championship - 50km Split (GBR),50km,30,11238.0,Bournemouth AC,GBR,1974.0,M,M35,16.017,19736
2016,02.10.2016,British Championships 50km Walking (GBR),50km,4,16376.0,Racewalker,POR,1996.0,M,MU23,10.992,145411
2015,04.10.2015,British Championships 50km Walking (GBR),50km,6,20366.0,Lancashire Walking Club,GBR,,M,,8.838,175086
2014,05.10.2014,British Championships 50km Walking (GBR),50km,8,14342.0,,ESP,1973.0,M,M40,12.551,384538
2014,05.10.2014,British Championships 50km Walking Open (GBR),50km,8,18744.0,Ashford Athletic Club,GBR,1993.0,M,MU23,9.603,3490
2016,05.10.2016,British Championships 50km Walking Open (GBR),50km,5,19953.0,Manx Harriers,GBR,1981.0,M,M23,9.021,470530
2000,17.03.2000,Brno Spring 48 Hour Indoor - 50km Split (CZE),50km,30,15651.0,,SVK,1958.0,M,M40,11.501,1047126
2002,22.03.2002,Brno Spring 48 Hour Indoor - 50km Split (CZE),50km,34,15283.0,,RUS,1958.0,M,M40,11.778,626880
2001,23.-25.03.2001,Brno Spring 48 Hour Indoor - 50km split (CZE),50km,43,12834.0,,ITA,1964.0,M,M35,14.025,21829
2006,24.03.2006,Brno Spring 50km Indoor (CZE),50km,4,12780.0,,CZE,1958.0,M,M45,14.085,1181373
2017,15.07.2017,Broken Goat 50K (CAN),50km,94,20129.0,"*Vancouver, AB",CAN,1991.0,M,M23,8.942,228701
2016,16.07.2016,Broken Goat 50K (CAN),50km,98,20116.0,"*Spokane, WA",USA,1983.0,M,M23,8.948,176935
2022,16.07.2022,Broken Goat 50K (CAN),50km,93,18781.0,"*North Vancouver, BC",CAN,1990.0,M,M23,9.584,204010
2015,18.07.2015,Broken Goat 50K (CAN),50km,87,19270.0,"*Calgary, AB",CAN,1972.0,M,M40,9.341,228699
2019,20.07.2019,Broken Goat 50K (CAN),50km,101,18568.0,"*Nelson, BC",AUS,1989.0,M,M23,9.694,243542
2018,21.07.2018,Broken Goat 50K (CAN),50km,113,18689.0,"*Calgary, AB",CAN,1972.0,M,M45,9.631,228699
2021,04.12.2021,Broken Toe 50k (USA),50km,21,19197.0,,USA,1979.0,M,M40,9.376,136
2011,05.11.2011,Broken Toe 50k (USA),50km,34,19249.0,,USA,1963.0,M,M45,9.351,334939
2019,19.10.2019,Broken Toe 50k (USA),50km,42,16967.0,,USA,1982.0,M,M35,10.609,45295
2018,20.10.2018,Broken Toe 50k (USA),50km,40,18153.0,,USA,1987.0,M,M23,9.916,311196
2017,21.10.2017,Broken Toe 50k (USA),50km,25,18311.0,"*Sidney, OH",USA,1987.0,M,M23,9.83,199636
2016,29.10.2016,Broken Toe 50k (USA),50km,32,22203.0,,USA,1974.0,M,M40,8.107,73312
2022,29.10.2022,Broken Toe 50k (USA),50km,25,19192.0,,USA,1987.0,M,M23,9.379,311196
2013,21.-22.11.2013,Bromo Tengger Semeru Ultra 50km (INA),50km,50,26132.0,,AUS,1970.0,M,M40,6.888,463392
2000,13.08.2000,Bronx Trail 50 Km (USA),50km,38,15142.0,*NJ,USA,1958.0,M,M40,11.887,1071021
2000,02.09.2000,Brooklyn 50 Km (USA),50km,24,13098.0,*MD,USA,1955.0,M,M40,13.743,410175
1999,05.09.1999,Brooklyn 50 km Run (USA),50km,46,12303.0,"*Shirley, NY",USA,1958.0,M,M40,14.631,619529
2012,22.01.2012,Brooks Falls Trail (USA),50km,19,16368.0,"*Healdsburg, CA",USA,1972.0,M,M35,10.997,292862
2010,01.08.2010,Brookvale Ultra Trail Marathon (CAN),50km,14,16723.0,,CAN,1969.0,M,M40,10.764,1307674
2009,02.08.2009,Brookvale Ultra Trail Marathon (CAN),50km,9,20021.0,,CAN,1964.0,M,M40,8.991,1273643
2015,02.08.2015,Brookvale Ultra Trail Marathon (CAN),50km,17,17241.0,,CAN,1975.0,M,M35,10.44,35795
2014,03.08.2014,Brookvale Ultra Trail Marathon (CAN),50km,16,15028.0,,CAN,1976.0,M,M35,11.978,1307675
2013,04.08.2013,Brookvale Ultra Trail Marathon (CAN),50km,17,15644.0,,CAN,1964.0,M,M45,11.506,1273643
2019,04.08.2019,Brookvale Ultra Trail Marathon (CAN),50km,12,17448.0,,CAN,1973.0,M,M45,10.316,740048
2012,05.08.2012,Brookvale Ultra Trail Marathon (CAN),50km,20,17418.0,,CAN,1964.0,M,M45,10.334,1273643
2018,05.08.2018,Brookvale Ultra Trail Marathon (CAN),50km,15,17019.0,,CAN,1973.0,M,M40,10.576,42410
2017,06.08.2017,Brookvale Ultra Trail Marathon (CAN),50km,25,16703.0,,CAN,1976.0,M,M40,10.777,295360
2011,31.07.2011,Brookvale Ultra Trail Marathon (CAN),50km,16,15954.0,,CAN,1976.0,M,M23,11.282,1307675
2016,31.07.2016,Brookvale Ultra Trail Marathon (CAN),50km,14,15127.0,,CAN,1980.0,M,M35,11.899,149520
2021,26.09.2021,Brottbyrundan 50K (SWE),50km,4,18412.0,Klätterapan,SWE,1994.0,M,M23,9.776,297977
2008,01.03.2008,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,63,12073.0,Nedbank RC,RSA,1977.0,M,M23,14.909,1080736
2005,05.03.2005,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,104,11307.0,Nokia Algoa Ac,RSA,1972.0,M,M23,15.919,1140698
2002,09.02.2002,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,152,11122.0,Libnike,RSA,1963.0,M,M35,16.184,56118
2006,11.03.2006,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,127,11101.0,Real Gijimas,RSA,1972.0,M,M23,16.215,110979
1999,13.03.1999,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,25,11615.0,EP Command,RSA,1961.0,M,M35,15.497,1105397
2004,13.03.2004,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,119,11503.0,Nokia Algoa Ac,RSA,1972.0,M,M23,15.648,1140698
2009,14.03.2009,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,108,11089.0,Nedbank,RSA,1978.0,M,M23,16.232,1152715
2003,15.03.2003,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,140,11515.0,New Balance,RSA,1963.0,M,M35,15.632,136082
2016,16.04.2016,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,197,11529.0,Mother,RSA,1978.0,M,M35,15.613,133450
2000,18.03.2000,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,269,11631.0,Sandf Ep,RSA,1960.0,M,M35,15.476,155866
2017,18.03.2017,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,172,11569.0,Charlo,RSA,1987.0,M,M23,15.559,56123
2015,18.04.2015,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,113,11851.0,Bluewater Bay Road Run...,RSA,1976.0,M,M35,15.189,56117
2011,19.03.2011,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,158,11793.0,Nedbank,RSA,1978.0,M,M23,15.263,153869
2018,20.04.2018,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,203,11521.0,Vukani,RSA,1982.0,M,M35,15.624,56119
2014,22.03.2014,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,105,12168.0,Nedbank RC EP,RSA,1980.0,M,M23,14.793,133652
2013,23.02.2013,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,122,11707.0,Ikhamva,RSA,1978.0,M,M23,15.375,133450
2010,24.04.2010,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,157,10846.0,Nedbank Running Club E...,RSA,1978.0,M,M23,16.596,1152715
2012,28.04.2012,Bruintjieshoogte Ultra Marathon 50km (RSA),50km,156,11460.0,Nedbank RC EP,RSA,1982.0,M,M23,15.707,56115
2019,11.08.2019,Bruno´s 50km Run (USA),50km,4,20679.0,"*Sherwood, WI",USA,1983.0,M,M35,8.704,213553
2018,01.06.2018,Bryce 50 km Trail Run (USA),50km,177,17117.0,"*Flagstaff, AZ",USA,1976.0,M,M40,10.516,105257
2015,05.06.2015,Bryce 50 km Trail Run (USA),50km,90,16204.0,"*Salt Lake City, UT",USA,1985.0,M,M23,11.108,248277
2014,14.06.2014,Bryce 50 km Trail Run (USA),50km,92,17965.0,"*Missoula, Mt, MT",USA,1979.0,M,M23,10.019,301702
2017,16.06.2017,Bryce 50 km Trail Run (USA),50km,206,19700.0,"*Phoenix, AZ",USA,1988.0,M,M23,9.137,238209
2016,17.06.2016,Bryce 50 km Trail Run (USA),50km,149,20918.0,"*Flagstaff, AZ",USA,1990.0,M,M23,8.605,145930
2019,18.05.2019,Bryce 50 km Trail Run (USA),50km,200,18468.0,"*Page, AZ",USA,1990.0,F,W23,9.747,647729
2022,28.05.2022,Bryce 50 km Trail Run (USA),50km,155,18870.0,"*Battle Ground, WA",USA,1999.0,M,MU23,9.539,905277
2021,29.05.2021,Bryce 50 km Trail Run (USA),50km,327,16010.0,"*Cedar City, UT",USA,1991.0,M,M23,11.243,52105
2020,30.05.2020,Bryce 50 km Trail Run (USA),50km,74,19772.0,"*Woods Cross, UT",USA,1980.0,M,M35,9.104,204221
2022,15.10.2022,Bryce Conquer the Mountain 50km Race (USA),50km,23,16800.0,"*Broadway, VA",USA,1989.0,M,M23,10.714,1016586
2021,16.10.2021,Bryce Conquer the Mountain 50km Race (USA),50km,70,20400.0,"*Richmond, VA",USA,1984.0,M,M35,8.824,820741
2013,01.06.2013,Buckeye Buster 50K (USA),50km,62,18453.0,,USA,1969.0,M,M40,9.755,443986
2015,06.06.2015,Buckeye Buster 50K (USA),50km,40,16896.0,"*Fresno, OH",USA,1988.0,M,M23,10.653,33872
2014,07.06.2014,Buckeye Buster 50K (USA),50km,58,16488.0,,USA,1980.0,M,M23,10.917,50430
2018,07.07.2018,Buckeye Trail 50k (USA),50km,137,15068.0,"*Akron, OH",USA,1994.0,M,M23,11.946,242057
2017,08.07.2017,Buckeye Trail 50k (USA),50km,132,14004.0,"*Brecksville, OH",USA,1994.0,M,MU23,12.853,490266
2016,09.07.2016,Buckeye Trail 50k (USA),50km,155,14264.0,"*Brecksville, OH",USA,1994.0,M,MU23,12.619,490266
2021,10.07.2021,Buckeye Trail 50k (USA),50km,150,16751.0,"*Wooster, OH",USA,1985.0,M,M35,10.746,33873
2015,11.07.2015,Buckeye Trail 50k (USA),50km,109,14884.0,,USA,1994.0,M,MU23,12.094,490266
2008,12.07.2008,Buckeye Trail 50k (USA),50km,156,15016.0,,USA,1969.0,M,M35,11.987,1074212
2014,12.07.2014,Buckeye Trail 50k (USA),50km,142,15436.0,,USA,1994.0,M,MU23,11.661,490266
2013,13.07.2013,Buckeye Trail 50k (USA),50km,143,14799.0,,USA,1988.0,M,M23,12.163,223175
2007,14.07.2007,Buckeye Trail 50k (USA),50km,149,14100.0,,USA,1969.0,M,M35,12.766,1074212
2012,14.07.2012,Buckeye Trail 50k (USA),50km,144,15495.0,,USA,1988.0,M,M23,11.617,223175
2005,16.07.2005,Buckeye Trail 50k (USA),50km,101,14460.0,*OH,USA,1969.0,M,M35,12.448,1074212
2011,16.07.2011,Buckeye Trail 50k (USA),50km,151,15054.0,,USA,1969.0,M,M40,11.957,1074212
2004,17.07.2004,Buckeye Trail 50k (USA),50km,60,15672.0,,USA,1982.0,M,MU23,11.485,53218
2010,17.07.2010,Buckeye Trail 50k (USA),50km,140,14633.0,,USA,1969.0,M,M40,12.301,1074212
2009,19.07.2009,Buckeye Trail 50k (USA),50km,154,14218.0,*OH,USA,1976.0,M,M23,12.66,1274579
1998,25.07.1998,Buckeye Trail 50k (USA),50km,32,14868.0,,USA,1970.0,M,M23,12.107,1045676
1997,26.07.1997,Buckeye Trail 50k (USA),50km,35,15190.0,,USA,1970.0,M,M23,11.85,1045676
2003,26.07.2003,Buckeye Trail 50k (USA),50km,35,16260.0,,USA,1969.0,M,M23,11.07,1074212
1996,27.07.1996,Buckeye Trail 50k (USA),50km,14,17580.0,,USA,1968.0,M,M23,10.239,242063
2002,27.07.2002,Buckeye Trail 50k (USA),50km,43,15930.0,,USA,1969.0,M,M23,11.299,1074212
2001,28.07.2001,Buckeye Trail 50k (USA),50km,38,16284.0,,USA,1965.0,M,M35,11.054,1121808
1995,29.07.1995,Buckeye Trail 50k (USA),50km,18,17360.0,,USA,1970.0,M,M23,10369.0,1045676
2000,29.07.2000,Buckeye Trail 50k (USA),50km,40,16380.0,"*Dayton, OH",USA,1960.0,M,M35,10.989,1050890
2019,30.06.2019,Buckeye Trail 50k (USA),50km,111,15901.0,"*Henderson, NV",USA,1992.0,M,M23,11.32,322843
1994,30.07.1994,Buckeye Trail 50k (USA),50km,13,18738.0,,USA,1970.0,M,M23,9606.0,1045676
1999,31.07.1999,Buckeye Trail 50k (USA),50km,25,14196.0,,USA,1970.0,M,M23,12.68,1045676
2010,05.12.2010,Buckeye Woods 50K Run (USA),50km,10,13860.0,,USA,1982.0,M,M23,12.987,1297259
2012,25.11.2012,Buckeye Woods 50K Run (USA),50km,13,11250.0,,USA,1987.0,M,M23,16,1358708
2018,25.11.2018,Buckeye Woods 50K Run (USA),50km,7,19500.0,,USA,1953.0,M,M60,9.231,355647
2011,26.11.2011,Buckeye Woods 50K Run (USA),50km,13,15720.0,,USA,1961.0,M,M50,11.45,19273
2017,26.11.2017,Buckeye Woods 50K Run (USA),50km,12,16440.0,,USA,1971.0,M,M45,10.949,19250
2016,27.11.2016,Buckeye Woods 50K Run (USA),50km,12,15240.0,,USA,1968.0,M,M45,11.811,526653
2015,29.11.2015,Buckeye Woods 50K Run (USA),50km,29,14700.0,,USA,1990.0,M,M23,12.245,333231
2014,30.11.2014,Buckeye Woods 50K Run (USA),50km,24,15600.0,,USA,1968.0,M,M45,11.538,526653
2017,22.07.2017,Buckin' Hell 50 Km (CAN),50km,121,18722.0,,CAN,1991.0,M,M23,9.614,53199
2016,23.07.2016,Buckin' Hell 50 Km (CAN),50km,99,18962.0,,CAN,1987.0,M,M23,9.493,272598
2022,23.07.2022,Buckin' Hell 50 Km (CAN),50km,132,20319.0,"*North Vancouver, BC",CAN,2001.0,M,MU23,8.859,221245
2015,25.07.2015,Buckin' Hell 50 Km (CAN),50km,71,19639.0,,USA,1979.0,M,M35,9.165,216395
2019,27.07.2019,Buckin' Hell 50 Km (CAN),50km,170,18058.0,,CAN,2001.0,M,MU23,9.968,221245
2018,28.07.2018,Buckin' Hell 50 Km (CAN),50km,144,18124.0,,CAN,1991.0,M,M23,9.932,53199
2016,20.11.2016,Buckley's Chance 50K Off-Trail Run (AUS),50km,15,13280.0,,AUS,1978.0,M,M35,13.554,335238
2015,24.10.2015,Buckley's Chance 50K Trail Run (AUS),50km,26,18066.0,,AUS,,M,,9.963,1517157
2020,14.11.2020,Bucks and Does Fifty Pointer 50km Race (USA),50km,25,15035.0,Glacial Trail Runners,USA,1978.0,M,M40,11.972,62355
2022,19.11.2022,Bucks and Does Fifty Pointer 50km Race (USA),50km,25,13389.0,"*Madison, WI",USA,1997.0,M,M23,13.444,330884
2021,20.11.2021,Bucks and Does Fifty Pointer 50km Race (USA),50km,34,16183.0,"*Brookfield, WI",USA,1988.0,M,M23,11.123,940602
2017,15.-16.04.2017,Budda 50K Ultramarathon (KOR),50km,28,22185.0,,KOR,1967.0,M,M45,8.114,113890
2016,16.-17.04.2016,Budda 50K Ultramarathon (KOR),50km,40,18355.0,,KOR,1951.0,M,M65,9.807,357751
2015,18.-19.04.2015,Budda 50K Ultramarathon (KOR),50km,25,19120.0,,KOR,1976.0,M,M35,9.414,409163
2014,19.-20.04.2014,Budda 50K Ultramarathon (KOR),50km,33,19516.0,,KOR,,M,,9.223,113743
2019,20.-21.04.2019,Budda 50K Ultramarathon (KOR),50km,17,23926.0,,KOR,1964.0,M,M50,7.523,60265
2018,21.-22.04.2018,Budda 50K Ultramarathon (KOR),50km,18,23970.0,,KOR,,M,,7.509,99666
2019,02.11.2019,Buddha's Palm 50km Ultramarathon (TPE),50km,16,18953.0,,TPE,1981.0,M,M35,9.497,809668
2018,03.11.2018,Buddha's Palm 50km Ultramarathon (TPE),50km,12,20577.0,,TPE,1978.0,F,W35,8.748,63334
2016,05.11.2016,Buddha's Palm 50km Ultramarathon (TPE),50km,9,20312.0,蘆洲慢跑,TPE,1964.0,M,M50,8.862,342248
2022,05.11.2022,Buddha's Palm 50km Ultramarathon (TPE),50km,20,19268.0,"*Xitun, Taichung City",TPE,1979.0,F,W40,9.342,959695
2020,07.11.2020,Buddha's Palm 50km Ultramarathon (TPE),50km,14,23720.0,,TPE,1992.0,M,M23,7.589,852657
2017,09.10.2017,Buddha's Palm 50km Ultramarathon (TPE),50km,29,23019.0,,TPE,1977.0,F,W40,7.82,63168
2015,17.10.2015,Buddha's Palm 50km Ultramarathon (TPE),50km,39,15786.0,,TPE,1981.0,M,M23,11.403,50668
2019,02.11.2019,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,3,28689.0,,TPE,1977.0,M,M40,6.274,646663
2018,03.11.2018,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,1,25649.0,,TPE,1978.0,M,M40,7.018,342277
2016,05.11.2016,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,6,24220.0,汐止慢跑社,TPE,1972.0,M,M40,7.432,26047
2022,05.11.2022,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,4,27968.0,"*Songshan, Taipei City",TPE,1972.0,M,M50,6.436,64269
2020,07.11.2020,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,2,27429.0,,TPE,1974.0,F,W45,6.562,3819
2017,09.10.2017,Buddha's Palm 50km Ultramarathon Finger (TPE),50km,4,25193.0,,TPE,1962.0,M,M55,7.145,235
2017,04.03.2017,Buddhist Stupa to Stupa Trail Marathon (NEP),50km,42,19106.0,,NEP,1996.0,M,MU23,9.421,396002
2015,04.04.2015,Buddhist Stupa to Stupa Trail Marathon (NEP),50km,28,24240.0,,SUI,1988.0,M,M23,7.426,27698
2016,09.04.2016,Buddhist Stupa to Stupa Trail Marathon (NEP),50km,21,23760.0,,NEP,1987.0,M,M23,7.576,181434
2009,20.-21.06.2009,Bukhangang 50 Km Ultra Marathon Race (KOR),50km,8,13500.0,,KOR,,M,,13.333,1246174
2007,23.-24.06.2007,Bukhangang 50 Km Ultra Marathon Race (KOR),50km,8,15552.0,,KOR,1964.0,M,M40,11.574,1225687
2018,23.-24.06.2018,Bukhangang 50 Km Ultra Marathon Race (KOR),50km,54,16216.0,,KOR,1964.0,M,M50,11.1,255982
2008,28.-29.06.2008,Bukhangang 50 Km Ultra Marathon Race (KOR),50km,5,20319.0,,KOR,,M,,8.859,99666
2022,01.10.2022,Bull Mountain 50 Km Epic Run (USA),50km,54,19662.0,"*Columbus, GA",USA,1996.0,M,M23,9.155,750029
2021,02.10.2021,Bull Mountain 50 Km Epic Run (USA),50km,59,18658.0,"*Marietta, GA",USA,1978.0,M,M40,9.647,73416
2020,03.10.2020,Bull Mountain 50 Km Epic Run (USA),50km,78,19034.0,"*Homewood, AL",USA,1985.0,M,M23,9.457,39656
2019,05.10.2019,Bull Mountain 50 Km Epic Run (USA),50km,50,17440.0,"*Bogart, GA",USA,1973.0,M,M45,10.321,105214
2018,06.10.2018,Bull Mountain 50 Km Epic Run (USA),50km,40,17979.0,"*Alpharetta, GA",USA,1983.0,M,M35,10.012,329050
2017,07.10.2017,Bull Mountain 50 Km Epic Run (USA),50km,24,17944.0,"*Dahlonega, GA",USA,1996.0,M,MU23,10.031,625139
2021,02.10.2021,Bulldog 50k Ultra Run (USA),50km,98,14691.0,"*Venice Beach, CA",USA,1980.0,M,M40,12.252,519669
1998,05.09.1998,Bulldog 50k Ultra Run (USA),50km,87,16340.0,,FIN,1946.0,M,M50,11.016,140579
1997,06.09.1997,Bulldog 50k Ultra Run (USA),50km,107,14214.0,,USA,1965.0,M,M23,12.664,168751
2003,06.09.2003,Bulldog 50k Ultra Run (USA),50km,99,14894.0,,MEX,1967.0,M,M35,12.085,140800
2002,07.09.2002,Bulldog 50k Ultra Run (USA),50km,102,14675.0,,MEX,1967.0,M,M23,12.266,140800
2001,08.09.2001,Bulldog 50k Ultra Run (USA),50km,118,14096.0,,MEX,1967.0,M,M23,12.77,140800
1995,09.09.1995,Bulldog 50k Ultra Run (USA),50km,87,13485.0,,USA,1966.0,M,M23,13348.0,30630
2000,09.09.2000,Bulldog 50k Ultra Run (USA),50km,117,14337.0,,USA,1967.0,M,M23,12.555,129135
1994,10.09.1994,Bulldog 50k Ultra Run (USA),50km,58,15924.0,,USA,1956.0,M,M35,11304.0,1073032
1993,11.09.1993,Bulldog 50k Ultra Run (USA),50km,111,13309.0,,FIN,1946.0,M,M45,13525.0,140579
1999,11.09.1999,Bulldog 50k Ultra Run (USA),50km,115,14337.0,,USA,1972.0,M,M23,12.555,86511
1992,13.09.1992,Bulldog 50k Ultra Run (USA),50km,82,14449.0,,FIN,1946.0,M,M45,12458.0,140579
1996,14.09.1996,Bulldog 50k Ultra Run (USA),50km,106,13394.0,,USA,1954.0,M,M40,13.439,165468
2022,20.08.2022,Bulldog 50k Ultra Run (USA),50km,117,12613.0,"*Los Angeles, CA",USA,1996.0,M,M23,14.271,312442
2010,21.08.2010,Bulldog 50k Ultra Run (USA),50km,199,12691.0,,USA,1988.0,M,MU23,14.183,469779
2009,22.08.2009,Bulldog 50k Ultra Run (USA),50km,185,14357.0,,USA,1987.0,M,MU23,12.537,202465
2015,22.08.2015,Bulldog 50k Ultra Run (USA),50km,234,13959.0,"*Flagstaff, AZ",USA,1981.0,M,M23,12.895,25608
2008,23.08.2008,Bulldog 50k Ultra Run (USA),50km,139,14285.0,,USA,1963.0,M,M40,12.601,1222644
2014,23.08.2014,Bulldog 50k Ultra Run (USA),50km,175,13388.0,"*Santa Monica, CA",USA,1988.0,M,M23,13.445,641204
2013,24.08.2013,Bulldog 50k Ultra Run (USA),50km,177,13989.0,"*Sun Valley, CA",MEX,1971.0,M,M40,12.867,118262
2019,24.08.2019,Bulldog 50k Ultra Run (USA),50km,140,13616.0,"*Acton, CA",USA,1996.0,M,MU23,13.22,312442
2007,25.08.2007,Bulldog 50k Ultra Run (USA),50km,165,13307.0,,USA,1971.0,M,M35,13.527,954522
2012,25.08.2012,Bulldog 50k Ultra Run (USA),50km,174,14566.0,,USA,1984.0,M,M23,12.358,42740
2018,25.08.2018,Bulldog 50k Ultra Run (USA),50km,166,14448.0,"*Westlake Village, CA",USA,1973.0,M,M40,12.458,55318
2006,26.08.2006,Bulldog 50k Ultra Run (USA),50km,128,13182.0,,USA,1983.0,M,MU23,13.655,1201982
2017,26.08.2017,Bulldog 50k Ultra Run (USA),50km,133,14672.0,"*Huntington Park, CA",USA,1988.0,M,M23,12.268,406132
2005,27.08.2005,Bulldog 50k Ultra Run (USA),50km,122,14353.0,,MEX,1967.0,M,M35,12.541,140800
2011,27.08.2011,Bulldog 50k Ultra Run (USA),50km,162,14682.0,,MEX,1967.0,M,M40,12.26,140800
2016,27.08.2016,Bulldog 50k Ultra Run (USA),50km,252,13012.0,"*Huntington Park, CA",USA,1974.0,M,M40,13.833,55505
2004,28.08.2004,Bulldog 50k Ultra Run (USA),50km,129,16418.0,,MEX,1967.0,M,M35,10.964,140800
2019,07.12.2019,Bulow Woods Trail Race and Ultra Marathon (USA),50km,38,16998.0,"*Jacksonville, FL",USA,1976.0,M,M40,10.589,348448
2018,08.12.2018,Bulow Woods Trail Race and Ultra Marathon (USA),50km,61,15908.0,,USA,1977.0,M,M40,11.315,50907
2017,09.12.2017,Bulow Woods Trail Race and Ultra Marathon (USA),50km,15,16687.0,,CAN,1993.0,M,M23,10.787,221392
2016,10.12.2016,Bulow Woods Trail Race and Ultra Marathon (USA),50km,37,17013.0,"*Chicago, IL",USA,1988.0,F,W23,10.58,516170
2015,12.12.2015,Bulow Woods Trail Race and Ultra Marathon (USA),50km,65,15137.0,"*Lakewood Ranch, FL",USA,1978.0,M,M35,11.891,103020
2020,12.12.2020,Bulow Woods Trail Race and Ultra Marathon (USA),50km,72,17980.0,"*Orlando, FL",USA,1993.0,M,M23,10.011,845466
2014,13.12.2014,Bulow Woods Trail Race and Ultra Marathon (USA),50km,45,14524.0,"*Deland, FL",USA,1982.0,M,M23,12.393,424668
2012,13.05.2012,Bunbury 50 km Ultramarathon (AUS),50km,14,12337.0,,NZL,1987.0,M,M23,14.59,122960
2005,15.05.2005,Bunbury 50 km Ultramarathon (AUS),50km,16,12615.0,,AUS,1964.0,M,M40,14.269,128646
